NIT,Nombre_Empresa,Apellido,Email,Telefono,Ciudad,Cupo_Total,Estado,Total_Pagos,Meses_Historial
901152209,SM MULTISERVICIOS Y SERVIFUMIGAR SAS,,servi_fumigar@yahoo.es,3228926675,MONTERIA (CORD),5000000,Activo,1.0,0.0
901881743,GRUPO EMPRESARIAL ALBO SAS,,asistenteadministrativo@grupoalbo.com,3212323852,BOGOTA (C/MARCA),15000000,Activo,1.0,0.0
901841787,NEXSUS DE COLOMBIA SAS,,gerencia@conexpro.com.co,3132668364,PUERTO BOGOTA (C/MARCA),3500000,Activo,20.0,2.726675427069645
901503312,PUNTO ELECTRICO LOS PAISAS S A S,,puntoelectricolospaisas@hotmail.com,3153606938,BARRANQUILLA (ATL),6000000,Activo,,
900539741,AGROJOHANA SAS,,agrojohanasas@hotmail.com,3153287659,BARRANQUILLA (ATL),10000000,Activo,2.0,0.0
901678549,FERRETEROS DEL NORTE COLOMBIA INTERNATIONAL S A S,,ferreterosdelnorte22@gmail.com,3016093571,BARRANQUILLA (ATL),15000000,Activo,3.0,0.8212877792378449
901500437,ARQUIPIEDRA S A S,,info@arquipiera.com,3003156246,RIONEGRO (ANT),5000000,Activo,2.0,0.0
900431161,HABITAT ECOLOGICO INTEGRAL CONSTRUCCIONES S A S,,contabilidad@heicon.com.co,3148019236,MEDELLIN (ANT),15000000,Activo,3.0,0.5913272010512484
901656761,CENTRAL DE SOLUCIONES EMPRESARIALES S A S,,gerencia.centralse@gmail.com,3152356936,CALI (VALLE),1050000,Activo,4.0,2.7923784494086727
900470946,AUTOZEN S A S,,lledesma@autozen.com.co,3184494047‬,RIONEGRO (ANT),10000000,Activo,,
900499017,FONTANEROS HB SAS,,fontaneroshb@yahoo.com,3185480522,BOGOTA (C/MARCA),3500000,Activo,,
901879680,FERREPARTES E HIDRAULICOS LA CACHARRERIA S A S,,fhlacacharreria@gmail.com,3502003208,LA CALERA (C/MARCA),3500000,Activo,,
901958670,BEAUTY COSMETICKS S A S,,dianamarcelaciacedo2011@hotmail.com,3115298797,YUMBO (VALLE),6000000,Activo,2.0,1.2483574244415243
901486169,MULTIFRANQUICIAS COLOMBIA SAS,,mulfranco1@gmail.com,3027542723,BOGOTA (C/MARCA),3000000,Activo,6.0,3.580814717477004
901865071,ROYALTY MUEBLES SAS,,royaltymuebles937@gmail.com,3025518375,CALI (VALLE),7500000,Activo,,
901344797,PELIPACK S A S,,pelipacksas@gmail.com,3112615775,BOGOTA (C/MARCA),2000000,Activo,10.0,6.898817345597897
901676671,RUSSO TEXTILES E INSUMOS S A S,,russotextiles@gmail.com,3125686503,BOGOTA (C/MARCA),4000000,Desvinculado,,
901654208,ROLLTEX IMPORTADORA Y COMERCIALIZADORA SAS,,rolltexpatiobonito@gmail.com,3106771710,BOGOTA (C/MARCA),15000000,Desvinculado,29.0,7.7858081471747695
901630114,SOMATOTIPOS COLOMBIA SMT FIT SAS,,somatotiposfit@gmail.com,3173760695,BOGOTA (C/MARCA),0,Bloqueado,10.0,3.876478318002628
901491025,LEVEN DISTRIBUCIONES S A S,,Tiendasleven@gmail.com,3160547207,BARRANQUILLA (ATL),0,Bloqueado,13.0,11.038107752956636
901520747,BIO NATURAL HEALTH & LIFE SAS,,bnhealthlife@gmail.com,3106791879,BOGOTA (C/MARCA),1500000,Activo,20.0,9.132720105124836
